# Chunk-averaged data for fix chunk2 and group anion
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  181 22.25 1.80392 0.00325712
  182 22.75 1.43137 0.00258445
  183 23.25 1.09804 0.00198259
  184 23.75 1.03922 0.00187638
  185 24.25 0.843137 0.00152235
  186 24.75 1.31373 0.00237203
  187 25.25 0.843137 0.00152235
  188 25.75 1.03922 0.00187638
  189 26.25 1.94118 0.00350494
  190 26.75 1.45098 0.00261985
  191 27.25 1.86275 0.00336333
  192 27.75 1.72549 0.0031155
  193 28.25 1.01961 0.00184098
  194 28.75 1.03922 0.00187638
  195 29.25 2.09804 0.00378817
  196 29.75 2.5098 0.00453164
  197 30.25 1.66667 0.00300929
  198 30.75 1.76471 0.00318631
  199 31.25 2.29412 0.0041422
  200 31.75 1.5098 0.00272607
  201 32.25 1.03922 0.00187638
  202 32.75 1.88235 0.00339873
  203 33.25 1.5098 0.00272607
  204 33.75 1.33333 0.00240743
  205 34.25 1.27451 0.00230122
  206 34.75 1.35294 0.00244284
  207 35.25 1.66667 0.00300929
  208 35.75 1.66667 0.00300929
  209 36.25 1.90196 0.00343413
  210 36.75 1.60784 0.00290308
  211 37.25 0.960784 0.00173477
  212 37.75 1.17647 0.00212421
  213 38.25 0.764706 0.00138073
  214 38.75 1.31373 0.00237203
  215 39.25 1.13725 0.0020534
  216 39.75 1.29412 0.00233663
  217 40.25 2 0.00361115
  218 40.75 2.47059 0.00446083
  219 41.25 1.82353 0.00329252
  220 41.75 1.47059 0.00265526
  221 42.25 1.23529 0.00223042
  222 42.75 1.47059 0.00265526
  223 43.25 0.882353 0.00159315
  224 43.75 0.705882 0.00127452
  225 44.25 1 0.00180558
  226 44.75 1.64706 0.00297389
  227 45.25 3.09804 0.00559374
  228 45.75 3.2549 0.00587697
  229 46.25 2.68627 0.00485027
  230 46.75 1.70588 0.0030801
  231 47.25 0.921569 0.00166396
  232 47.75 0.666667 0.00120372
  233 48.25 0.45098 0.000814279
  234 48.75 0.215686 0.000389438
  235 49.25 0.117647 0.000212421
  236 49.75 0.176471 0.000318631
  237 50.25 0.411765 0.000743472
  238 50.75 2.19608 0.00396519
  239 51.25 12.902 0.0232955
  240 51.75 0.921569 0.00166396
  241 52.25 0 0
  242 52.75 0 0
  243 53.25 0 0
  244 53.75 0 0
  245 54.25 0 0
  246 54.75 0 0
  247 55.25 0 0
  248 55.75 0 0
  249 56.25 0 0
  250 56.75 0 0
  251 57.25 0 0
  252 57.75 0 0
  253 58.25 0 0
  254 58.75 0 0
  255 59.25 0 0
  256 59.75 0 0
  257 60.25 0 0
  258 60.75 0 0
  259 61.25 0 0
  260 61.75 0 0
  261 62.25 0 0
  262 62.75 0 0
  263 63.25 0 0
  264 63.75 0 0
  265 64.25 0 0
  266 64.75 0 0
  267 65.25 0 0
  268 65.75 0 0
  269 66.25 0 0
  270 66.75 0 0
  271 67.25 0 0
  272 67.75 0 0
