# Chunk-averaged data for fix chunk1 and group cation
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  180 21.75 1.76471 0.00318631
  181 22.25 1.64706 0.00297389
  182 22.75 1.19608 0.00215961
  183 23.25 1.80392 0.00325712
  184 23.75 1.05882 0.00191179
  185 24.25 0.803922 0.00145154
  186 24.75 1.52941 0.00276147
  187 25.25 2.37255 0.00428382
  188 25.75 1.39216 0.00251364
  189 26.25 1.29412 0.00233663
  190 26.75 1.2549 0.00226582
  191 27.25 1.23529 0.00223042
  192 27.75 1.43137 0.00258445
  193 28.25 1.2549 0.00226582
  194 28.75 1.35294 0.00244284
  195 29.25 2.60784 0.00470866
  196 29.75 2.54902 0.00460245
  197 30.25 1.47059 0.00265526
  198 30.75 2.05882 0.00371736
  199 31.25 1.33333 0.00240743
  200 31.75 2.13725 0.00385898
  201 32.25 1.07843 0.00194719
  202 32.75 1 0.00180558
  203 33.25 1.23529 0.00223042
  204 33.75 1.2549 0.00226582
  205 34.25 2.05882 0.00371736
  206 34.75 1.43137 0.00258445
  207 35.25 0.803922 0.00145154
  208 35.75 1.72549 0.0031155
  209 36.25 1.5098 0.00272607
  210 36.75 1.72549 0.0031155
  211 37.25 1.19608 0.00215961
  212 37.75 0.882353 0.00159315
  213 38.25 1.35294 0.00244284
  214 38.75 2.03922 0.00368196
  215 39.25 1.72549 0.0031155
  216 39.75 2 0.00361115
  217 40.25 1.98039 0.00357575
  218 40.75 1.90196 0.00343413
  219 41.25 1.17647 0.00212421
  220 41.75 1.09804 0.00198259
  221 42.25 1.2549 0.00226582
  222 42.75 1.03922 0.00187638
  223 43.25 1.09804 0.00198259
  224 43.75 1.33333 0.00240743
  225 44.25 1.09804 0.00198259
  226 44.75 1.54902 0.00279687
  227 45.25 1.82353 0.00329252
  228 45.75 2.47059 0.00446083
  229 46.25 1.94118 0.00350494
  230 46.75 1.4902 0.00269066
  231 47.25 1.19608 0.00215961
  232 47.75 2.29412 0.0041422
  233 48.25 1.47059 0.00265526
  234 48.75 1.52941 0.00276147
  235 49.25 1.54902 0.00279687
  236 49.75 2.23529 0.00403599
  237 50.25 2.31373 0.00417761
  238 50.75 0.941176 0.00169937
  239 51.25 0.0196078 3.54034e-05
  240 51.75 0 0
  241 52.25 0 0
  242 52.75 0 0
  243 53.25 0 0
  244 53.75 0 0
  245 54.25 0 0
  246 54.75 0 0
  247 55.25 0 0
  248 55.75 0 0
  249 56.25 0 0
  250 56.75 0 0
  251 57.25 0 0
  252 57.75 0 0
  253 58.25 0 0
  254 58.75 0 0
  255 59.25 0 0
  256 59.75 0 0
  257 60.25 0 0
  258 60.75 0 0
  259 61.25 0 0
  260 61.75 0 0
  261 62.25 0 0
  262 62.75 0 0
  263 63.25 0 0
  264 63.75 0 0
  265 64.25 0 0
  266 64.75 0 0
  267 65.25 0 0
  268 65.75 0 0
  269 66.25 0 0
  270 66.75 0 0
  271 67.25 0 0
  272 67.75 0 0
