# Chunk-averaged data for fix chunk1 and group cation
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  181 22.25 0.784314 0.00141614
  182 22.75 1.15686 0.0020888
  183 23.25 1.29412 0.00233663
  184 23.75 1.62745 0.00293849
  185 24.25 1.39216 0.00251364
  186 24.75 1.70588 0.0030801
  187 25.25 2.45098 0.00442543
  188 25.75 1.78431 0.00322171
  189 26.25 1.35294 0.00244284
  190 26.75 1.78431 0.00322171
  191 27.25 1.96078 0.00354034
  192 27.75 2.33333 0.00421301
  193 28.25 1.72549 0.0031155
  194 28.75 0.960784 0.00173477
  195 29.25 0.431373 0.000778876
  196 29.75 0.666667 0.00120372
  197 30.25 1.07843 0.00194719
  198 30.75 1.11765 0.002018
  199 31.25 1.41176 0.00254905
  200 31.75 1.62745 0.00293849
  201 32.25 2.11765 0.00382357
  202 32.75 2.64706 0.00477946
  203 33.25 2.41176 0.00435462
  204 33.75 2.45098 0.00442543
  205 34.25 1.41176 0.00254905
  206 34.75 1.19608 0.00215961
  207 35.25 0.705882 0.00127452
  208 35.75 1 0.00180558
  209 36.25 0.647059 0.00116831
  210 36.75 0.803922 0.00145154
  211 37.25 1.80392 0.00325712
  212 37.75 1.72549 0.0031155
  213 38.25 1.27451 0.00230122
  214 38.75 1.11765 0.002018
  215 39.25 1.52941 0.00276147
  216 39.75 1.7451 0.00315091
  217 40.25 2.01961 0.00364655
  218 40.75 2.39216 0.00431922
  219 41.25 2.92157 0.00527511
  220 41.75 2.37255 0.00428382
  221 42.25 0.823529 0.00148694
  222 42.75 0.470588 0.000849683
  223 43.25 0 0
  224 43.75 0.0588235 0.00010621
  225 44.25 0.313725 0.000566455
  226 44.75 0.941176 0.00169937
  227 45.25 2.43137 0.00439003
  228 45.75 3.27451 0.00591238
  229 46.25 5.29412 0.00955893
  230 46.75 3.19608 0.00577076
  231 47.25 0.470588 0.000849683
  232 47.75 0.0196078 3.54034e-05
  233 48.25 0 0
  234 48.75 0 0
  235 49.25 0 0
  236 49.75 0.0196078 3.54034e-05
  237 50.25 1.7451 0.00315091
  238 50.75 10.451 0.01887
  239 51.25 2.78431 0.00502729
  240 51.75 0 0
  241 52.25 0 0
  242 52.75 0 0
  243 53.25 0 0
  244 53.75 0 0
  245 54.25 0 0
  246 54.75 0 0
  247 55.25 0 0
  248 55.75 0 0
  249 56.25 0 0
  250 56.75 0 0
  251 57.25 0 0
  252 57.75 0 0
  253 58.25 0 0
  254 58.75 0 0
  255 59.25 0 0
  256 59.75 0 0
  257 60.25 0 0
  258 60.75 0 0
  259 61.25 0 0
  260 61.75 0 0
  261 62.25 0 0
  262 62.75 0 0
  263 63.25 0 0
  264 63.75 0 0
  265 64.25 0 0
  266 64.75 0 0
  267 65.25 0 0
  268 65.75 0 0
  269 66.25 0 0
  270 66.75 0 0
  271 67.25 0 0
  272 67.75 0 0
