time anode_char cathode_char
0 0.215237068301515 -0.215237068301516
10 0.215443689442954 -0.215443689442953
20 0.217340561785147 -0.217340561785147
30 0.220526197695387 -0.220526197695388
40 0.225003086575912 -0.225003086575912
50 0.230764715249847 -0.230764715249847
60 0.237803551359927 -0.237803551359928
70 0.246101008862837 -0.246101008862836
80 0.255622301873405 -0.255622301873405
90 0.266319528154573 -0.266319528154573
100 0.278134886623721 -0.278134886623721
110 0.291002325808007 -0.291002325808008
120 0.304848830989974 -0.304848830989974
130 0.319595311086375 -0.319595311086376
140 0.335156576661952 -0.335156576661952
150 0.351440099835865 -0.351440099835865
160 0.368343727507748 -0.368343727507748
170 0.385753271741391 -0.385753271741392
180 0.403541411116201 -0.403541411116201
190 0.42156975011255 -0.42156975011255
200 0.439694880518475 -0.439694880518474
210 0.457776560933598 -0.457776560933599
220 0.475683848412305 -0.475683848412306
230 0.49329651072849 -0.49329651072849
240 0.510503042136639 -0.510503042136638
250 0.527199142832958 -0.527199142832958
260 0.543289763572375 -0.543289763572374
270 0.55869467563276 -0.558694675632762
280 0.573354684896949 -0.573354684896951
290 0.587234800364161 -0.587234800364161
300 0.600322199407922 -0.600322199407923
310 0.612619821497115 -0.612619821497117
320 0.624138439261602 -0.624138439261601
330 0.634890314762837 -0.634890314762837
340 0.644885931910078 -0.644885931910079
350 0.654134539213469 -0.654134539213469
360 0.662649551804968 -0.662649551804968
370 0.670457046405248 -0.670457046405249
380 0.67760115216667 -0.677601152166669
390 0.684142149563234 -0.684142149563234
400 0.690149020847565 -0.690149020847567
410 0.695689337486942 -0.695689337486942
420 0.700818329161633 -0.700818329161636
430 0.705569682787562 -0.705569682787564
440 0.709951746444489 -0.70995174644449
450 0.713952023914569 -0.713952023914568
460 0.717549711341941 -0.717549711341941
470 0.720732313715707 -0.720732313715706
480 0.72351112910423 -0.723511129104232
490 0.725930236772225 -0.725930236772224
500 0.728064017622949 -0.728064017622949
510 0.730002169778331 -0.730002169778331
520 0.731828810649651 -0.731828810649648
530 0.733606501757753 -0.733606501757755
540 0.735372217555438 -0.735372217555437
550 0.737143087585562 -0.737143087585563
560 0.738923878133206 -0.738923878133205
570 0.740710238629594 -0.740710238629593
580 0.742488134449582 -0.742488134449582
590 0.744233174225508 -0.744233174225509
600 0.745913494540502 -0.745913494540501
610 0.747498130949765 -0.747498130949765
620 0.748969959954679 -0.748969959954679
630 0.750337399935547 -0.750337399935547
640 0.751638507138869 -0.75163850713887
650 0.75294141661269 -0.752941416612693
660 0.754347855054135 -0.754347855054137
670 0.755985254321031 -0.755985254321029
680 0.757974932656672 -0.757974932656672
690 0.760396539339503 -0.760396539339501
700 0.763269865406961 -0.763269865406961
710 0.766556440765649 -0.766556440765647
720 0.770173703137035 -0.770173703137035
730 0.774011736955796 -0.774011736955797
740 0.777948507093404 -0.777948507093406
750 0.781869002658993 -0.781869002658995
760 0.785686991833447 -0.785686991833446
770 0.789355895917427 -0.78935589591743
780 0.792858980887064 -0.792858980887064
790 0.79618882307268 -0.796188823072683
800 0.799337808428041 -0.799337808428041
810 0.802293548137415 -0.802293548137415
820 0.805016397374379 -0.805016397374381
830 0.807418952795339 -0.807418952795338
840 0.809382206041154 -0.809382206041155
850 0.810801872108689 -0.81080187210869
860 0.811624474169478 -0.811624474169477
870 0.811853036640534 -0.811853036640536
880 0.811534689882176 -0.811534689882177
890 0.810747473389068 -0.810747473389069
900 0.809592473305147 -0.809592473305145
910 0.808188164868796 -0.808188164868791
920 0.806662086827509 -0.806662086827507
930 0.805138834428403 -0.805138834428404
940 0.803727072140372 -0.803727072140374
950 0.802512917813721 -0.802512917813721
960 0.801563926889074 -0.801563926889074
970 0.800933982729934 -0.800933982729933
980 0.800661096188143 -0.800661096188144
990 0.8007702138527 -0.800770213852703
1000 0.801282048243168 -0.801282048243169
1010 0.802209662817415 -0.802209662817416
1020 0.803547052551091 -0.80354705255109
1030 0.805267142628357 -0.805267142628357
1040 0.807330985143457 -0.807330985143456
1050 0.80969889995418 -0.809698899954178
1060 0.812337631550738 -0.812337631550741
1070 0.815224191594933 -0.815224191594934
1080 0.81834896357029 -0.81834896357029
1090 0.821718258527636 -0.821718258527637
1100 0.825354209454391 -0.825354209454393
1110 0.829290141312309 -0.82929014131231
1120 0.833562941033472 -0.833562941033471
1130 0.838207309622002 -0.838207309622005
1140 0.843253755863322 -0.843253755863322
1150 0.848728228285398 -0.848728228285399
1160 0.854651515455847 -0.854651515455846
1170 0.861038946186652 -0.861038946186652
1180 0.867898512620468 -0.86789851262047
1190 0.875223238358478 -0.87522323835848
1200 0.882979857960759 -0.882979857960762
1210 0.891103375794465 -0.891103375794466
1220 0.899502029778015 -0.899502029778015
1230 0.908066624917001 -0.908066624917004
1240 0.916677931255033 -0.916677931255033
1250 0.925211344405773 -0.92521134440577
1260 0.933541316429093 -0.933541316429093
1270 0.941547733221117 -0.941547733221117
1280 0.949124561978685 -0.949124561978685
1290 0.95618839892555 -0.95618839892555
1300 0.962684732722559 -0.962684732722563
1310 0.968587411542711 -0.968587411542711
1320 0.973888390462833 -0.973888390462836
1330 0.978585442672109 -0.97858544267211
1340 0.982680155350599 -0.982680155350601
1350 0.986189601698846 -0.986189601698848
1360 0.989159592942091 -0.989159592942094
1370 0.991666356518697 -0.9916663565187
1380 0.993807367809529 -0.993807367809528
1390 0.995686362994022 -0.995686362994025
1400 0.997395493644725 -0.997395493644723
1410 0.998996711708158 -0.998996711708161
1420 1.00050638552037 -1.00050638552037
1430 1.00189079675137 -1.00189079675137
