# Chunk-averaged data for fix chunk2 and group anion
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  157 10.25 2.4902 0.00449624
  158 10.75 1.64706 0.00297389
  159 11.25 0.980392 0.00177017
  160 11.75 0.882353 0.00159315
  161 12.25 0.843137 0.00152235
  162 12.75 0.705882 0.00127452
  163 13.25 1.03922 0.00187638
  164 13.75 1.05882 0.00191179
  165 14.25 2.17647 0.00392978
  166 14.75 2.70588 0.00488568
  167 15.25 3.15686 0.00569995
  168 15.75 1.35294 0.00244284
  169 16.25 1.01961 0.00184098
  170 16.75 1.17647 0.00212421
  171 17.25 1.29412 0.00233663
  172 17.75 1.56863 0.00283228
  173 18.25 1.54902 0.00279687
  174 18.75 0.823529 0.00148694
  175 19.25 1.52941 0.00276147
  176 19.75 0.941176 0.00169937
  177 20.25 0.607843 0.00109751
  178 20.75 1.31373 0.00237203
  179 21.25 1.76471 0.00318631
  180 21.75 1.43137 0.00258445
  181 22.25 1.84314 0.00332792
  182 22.75 1.62745 0.00293849
  183 23.25 2.05882 0.00371736
  184 23.75 1.4902 0.00269066
  185 24.25 1.27451 0.00230122
  186 24.75 0.764706 0.00138073
  187 25.25 0.862745 0.00155775
  188 25.75 1.35294 0.00244284
  189 26.25 2.23529 0.00403599
  190 26.75 1.52941 0.00276147
  191 27.25 2.07843 0.00375277
  192 27.75 1.64706 0.00297389
  193 28.25 1.76471 0.00318631
  194 28.75 1.29412 0.00233663
  195 29.25 1.70588 0.0030801
  196 29.75 1.76471 0.00318631
  197 30.25 1.78431 0.00322171
  198 30.75 1.54902 0.00279687
  199 31.25 0.803922 0.00145154
  200 31.75 1.21569 0.00219501
  201 32.25 1.31373 0.00237203
  202 32.75 1.86275 0.00336333
  203 33.25 1.27451 0.00230122
  204 33.75 1.35294 0.00244284
  205 34.25 1.41176 0.00254905
  206 34.75 1.09804 0.00198259
  207 35.25 1.70588 0.0030801
  208 35.75 1.47059 0.00265526
  209 36.25 1.66667 0.00300929
  210 36.75 2.15686 0.00389438
  211 37.25 2.64706 0.00477946
  212 37.75 1.72549 0.0031155
  213 38.25 1.01961 0.00184098
  214 38.75 1 0.00180558
  215 39.25 0.901961 0.00162856
  216 39.75 0.941176 0.00169937
  217 40.25 1.47059 0.00265526
  218 40.75 1.5098 0.00272607
  219 41.25 1.33333 0.00240743
  220 41.75 1.31373 0.00237203
  221 42.25 2.56863 0.00463785
  222 42.75 2.03922 0.00368196
  223 43.25 0.666667 0.00120372
  224 43.75 0.921569 0.00166396
  225 44.25 1.70588 0.0030801
  226 44.75 1.29412 0.00233663
  227 45.25 2.29412 0.0041422
  228 45.75 3.72549 0.00672665
