# Chunk-averaged data for fix chunk1 and group den
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 32640
  180 21.75 2.13725 0.00385898
  181 22.25 2.62745 0.00474406
  182 22.75 2.78431 0.00502729
  183 23.25 3.35294 0.00605399
  184 23.75 3.11765 0.00562915
  185 24.25 2.66667 0.00481487
  186 24.75 2.47059 0.00446083
  187 25.25 3.31373 0.00598318
  188 25.75 3.13725 0.00566455
  189 26.25 3.58824 0.00647883
  190 26.75 3.31373 0.00598318
  191 27.25 4.03922 0.00729311
  192 27.75 3.98039 0.0071869
  193 28.25 3.4902 0.00630181
  194 28.75 2.2549 0.0040714
  195 29.25 2.13725 0.00385898
  196 29.75 2.43137 0.00439003
  197 30.25 2.86275 0.0051689
  198 30.75 2.66667 0.00481487
  199 31.25 2.21569 0.00400059
  200 31.75 2.84314 0.0051335
  201 32.25 3.43137 0.0061956
  202 32.75 4.5098 0.00814279
  203 33.25 3.68627 0.00665585
  204 33.75 3.80392 0.00686827
  205 34.25 2.82353 0.0050981
  206 34.75 2.29412 0.0041422
  207 35.25 2.41176 0.00435462
  208 35.75 2.47059 0.00446083
  209 36.25 2.31373 0.00417761
  210 36.75 2.96078 0.00534592
  211 37.25 4.45098 0.00803658
  212 37.75 3.45098 0.00623101
  213 38.25 2.29412 0.0041422
  214 38.75 2.11765 0.00382357
  215 39.25 2.43137 0.00439003
  216 39.75 2.68627 0.00485027
  217 40.25 3.4902 0.00630181
  218 40.75 3.90196 0.00704529
  219 41.25 4.2549 0.00768255
  220 41.75 3.68627 0.00665585
  221 42.25 3.39216 0.0061248
  222 42.75 2.5098 0.00453164
  223 43.25 0.666667 0.00120372
  224 43.75 0.980392 0.00177017
  225 44.25 2.01961 0.00364655
  226 44.75 2.23529 0.00403599
  227 45.25 4.72549 0.00853223
  228 45.75 7 0.012639
  229 46.25 8.09804 0.0146216
  230 46.75 3.94118 0.00711609
  231 47.25 0.784314 0.00141614
  232 47.75 0.0392157 7.08069e-05
  233 48.25 0.294118 0.000531052
  234 48.75 0.686275 0.00123912
  235 49.25 0.862745 0.00155775
  236 49.75 0.862745 0.00155775
  237 50.25 3.21569 0.00580616
  238 50.75 17.0196 0.0307302
  239 51.25 8 0.0144446
  240 51.75 0.0588235 0.00010621
  241 52.25 0 0
  242 52.75 0 0
  243 53.25 0 0
  244 53.75 0 0
  245 54.25 0 0
  246 54.75 0 0
  247 55.25 0 0
  248 55.75 0 0
  249 56.25 0 0
  250 56.75 0 0
  251 57.25 0 0
  252 57.75 0 0
  253 58.25 0 0
  254 58.75 0 0
  255 59.25 0 0
  256 59.75 0 0
  257 60.25 0 0
  258 60.75 0 0
  259 61.25 0 0
  260 61.75 0 0
  261 62.25 0 0
  262 62.75 0 0
  263 63.25 0 0
  264 63.75 0 0
  265 64.25 0 0
  266 64.75 0 0
  267 65.25 0 0
  268 65.75 0 0
  269 66.25 0 0
  270 66.75 0 0
  271 67.25 0 0
  272 67.75 0 0
